,X,Y,Z
4.6000000000000005,2.466009200326915e-06,3.3018856518982715e-06,1.2773202004831409e-06
4.7,2.3269774223835915e-06,3.0159066752944947e-06,1.554019337500106e-06
4.800000000000001,2.421537142028745e-06,3.5840276693966437e-06,1.353169014667592e-06
4.9,2.069884548474025e-06,3.900639104412654e-06,1.226358909220926e-06
5.0,2.063220748998058e-06,3.823474214353871e-06,8.312178305169231e-07
5.1000000000000005,2.304917984068085e-06,3.637684799878239e-06,2.970027312700803e-07
5.2,3.0085633663061793e-06,3.4630088209040954e-06,-1.4095792410197075e-08
5.300000000000001,3.7056124671442363e-06,3.533179877455172e-06,5.872124265618286e-08
5.4,3.761497300199846e-06,2.9165465645224197e-06,-6.465291799734562e-07
5.5,3.2487036900099674e-06,2.8183885990254913e-06,-5.266895099982731e-07
5.6000000000000005,3.3932987769651894e-06,2.962089786440092e-06,-4.183166176093988e-07
5.7,3.5515900420640405e-06,2.9500610055887076e-06,2.3099236719784354e-07
5.800000000000001,3.7900358525729472e-06,3.6992592088038247e-06,1.0998032285144028e-06
5.9,3.454604263024361e-06,4.160545527261209e-06,8.737394593152815e-07
6.0,3.5131788486059483e-06,4.486805759700352e-06,3.329969187762396e-07
6.1000000000000005,3.3782796862252495e-06,4.5890625400960034e-06,-1.7497732590071338e-07
6.2,3.41947435274935e-06,4.444185663461042e-06,4.895997501715718e-07
6.300000000000001,3.404198441269516e-06,4.479342323804115e-06,6.632981264462058e-07
6.4,3.7591101397865393e-06,5.001267674681043e-06,3.5836689073058677e-07
6.5,4.270349856679859e-06,5.023276256720594e-06,3.5852230519375133e-07
6.6000000000000005,4.3992948421678465e-06,4.736896798722011e-06,2.7986726638655853e-07
6.7,3.991982410126316e-06,5.182490673624969e-06,1.618134875401448e-07
6.800000000000001,3.791845206177993e-06,5.032385474836166e-06,-1.085045752121561e-07
6.9,3.8531757250387456e-06,5.621488812350535e-06,5.779122091866362e-07
7.0,4.321055700840347e-06,6.115172569210323e-06,7.354253472057218e-07
7.1000000000000005,4.750770795311052e-06,6.183567803284392e-06,1.0781140035044517e-06
7.2,4.777866765409783e-06,6.850053791141107e-06,1.05464231242428e-06
7.300000000000001,5.730290226999017e-06,7.0717370270699735e-06,8.693240627285122e-07
7.4,5.912880273725209e-06,6.970810270847351e-06,5.104057652932403e-07
7.5,6.02683264262254e-06,6.8124577081517535e-06,1.8668827688037246e-07
7.6000000000000005,6.637958260261689e-06,6.511120268880657e-06,5.660325968347971e-08
7.7,7.397333450817364e-06,5.9686183650568574e-06,-2.2040540862866327e-10
7.800000000000001,7.5079566467436284e-06,6.408064422622584e-06,-9.887076055811099e-08
7.9,7.646848071911167e-06,7.167730614696585e-06,5.555835045892303e-07
8.0,8.136688196700959e-06,7.146909089838185e-06,9.160079211555312e-07
8.1,8.921658285548532e-06,6.247329586659203e-06,3.824044213078666e-07
8.200000000000001,8.673405258987184e-06,6.461701661792089e-06,1.306917435782578e-06
8.3,9.529223128445651e-06,7.127502873073124e-06,1.4149130530534622e-06
8.4,1.0055741665897584e-05,7.184325501179962e-06,1.4742639789129224e-06
8.5,9.97566233284627e-06,7.156404363301128e-06,1.0464229168291122e-06
8.6,1.0040158003655597e-05,6.858870426113233e-06,9.465173118989752e-07
8.700000000000001,1.0493364380783028e-05,7.013018813130028e-06,8.411328166209663e-07
8.8,1.0397043565931533e-05,7.542304944454948e-06,9.034262306505379e-07
8.9,1.0742345887817384e-05,8.030676531070029e-06,1.5268134957386291e-06
9.0,1.0879383867077228e-05,8.37250618507644e-06,1.5676726965828223e-06
9.1,1.0896880623741396e-05,7.88393053826383e-06,1.676508202857269e-06
9.200000000000001,1.1113355497991938e-05,7.313088733933787e-06,1.8510687421041944e-06
9.3,1.0670082253717502e-05,7.040213888384871e-06,1.3289884473872902e-06
9.4,9.908866150934334e-06,7.1350183408815024e-06,1.1461388503630282e-06
9.5,9.486519310287063e-06,7.493104420449843e-06,4.1965720490297943e-07
9.600000000000001,9.204538411714716e-06,7.789508784346496e-06,-3.903838633009465e-08
9.700000000000001,9.29900166819644e-06,7.766751364642101e-06,3.896420640577095e-07
9.8,9.203092938111913e-06,7.885926889075204e-06,-1.1474390355672686e-07
9.9,9.538807236813307e-06,7.915190175955483e-06,-4.581118853728084e-07
10.0,1.0178392385770492e-05,7.553792938475602e-06,-9.513478887875333e-07
10.100000000000001,1.0181947803534426e-05,7.612257608749775e-06,-4.3571675860958826e-07
10.200000000000001,1.0400559962032132e-05,7.678677575548083e-06,-4.093889986024744e-07
10.3,1.0269995384429894e-05,8.115427218146633e-06,-5.378802875856106e-07
10.4,1.0004655572986765e-05,8.632831605119604e-06,-6.730880407514011e-07
10.5,1.0486651566241595e-05,8.673137180658929e-06,-6.802506667557878e-07
10.600000000000001,1.0754705438322341e-05,9.1839107699716e-06,-9.754725500267582e-07
10.700000000000001,1.1100143277385548e-05,9.128938118739036e-06,-6.293686369380842e-07
10.8,1.1089367783647573e-05,9.009188158520719e-06,5.278734704209023e-08
